BIRTHDATE;FIRSTNAME;ID;SEX
1982-05-26;Елизавета;0;FEMALE
2007-05-16;Григорий;1;MALE
1930-01-05;Ильдар;2;MALE
1956-09-07;Софья;3;FEMALE
1984-05-16;Ярослава;4;FEMALE
2009-05-19;Ирина;5;FEMALE
1933-01-07;Макар;6;MALE
1958-09-26;Рустам;7;MALE
1986-05-19;Всеволод;8;MALE
2011-05-09;Любовь;9;FEMALE
1935-01-10;Вячеслав;10;MALE
1960-09-28;Данил;11;MALE
1988-09-21;Руслан;12;MALE
2014-05-12;Валерий;13;MALE
1937-01-28;Ясмина;14;FEMALE
1963-09-03;Айдар;15;MALE
1973-05-28;Валентина;16;FEMALE
1998-01-19;Наташа;17;FEMALE
1922-09-19;Тимур;18;MALE
1947-09-09;Виктория;19;FEMALE
1975-05-02;Алина;20;FEMALE
2000-01-21;Евгения;21;FEMALE
1924-01-09;Ян;22;MALE
1949-09-12;Даниил;23;MALE
1977-05-21;Никита;24;MALE
2003-01-24;Эльмира;25;FEMALE
1926-01-12;Ангелина;26;FEMALE
1952-09-02;Амир;27;MALE
1979-05-23;Одиссей;28;MALE
2005-05-14;Дамир;29;MALE
1928-01-14;Дарина;30;FEMALE
1954-09-05;Кристина;31;FEMALE
1999-08-10;Артур;32;MALE
1925-04-28;Савва;33;MALE
1948-12-28;Наталья;34;FEMALE
1974-12-19;Платон;35;MALE
2001-08-12;Виктор;36;MALE
1927-04-03;Антон;37;MALE
1950-12-03;Милана;38;FEMALE
1976-12-21;Дарья;39;FEMALE
2004-08-14;Ариана;40;FEMALE
1929-04-05;Вадим;41;MALE
1952-04-21;Петр;42;MALE
1978-12-12;Альбина;43;FEMALE
2006-08-05;Милена;44;FEMALE
1931-04-24;Владислава;45;FEMALE
1955-04-24;Владимир;46;MALE
1980-12-14;Леонид;47;MALE
1990-09-12;Назар;48;MALE
2016-04-14;Денис;49;MALE
1939-01-02;Галина;50;FEMALE
1965-09-21;Ника;51;FEMALE
1993-08-14;Тамара;52;FEMALE
2018-04-05;Герман;53;MALE
1941-12-05;Сергей;54;MALE
1967-08-24;Таисия;55;FEMALE
1995-08-17;Ева;56;FEMALE
2020-04-07;Александра;57;FEMALE
1944-12-23;Кирилл;58;MALE
1969-12-26;Филипп;59;MALE
1997-08-07;Роберт;60;MALE
1922-04-10;Марина;61;FEMALE
1946-12-26;Родион;62;MALE
1971-12-16;Яромир;63;MALE
2017-12-05;Елизавета;64;FEMALE
1942-08-24;Мария;65;FEMALE
1966-04-12;Степан;66;MALE
1991-12-03;Эмиль;67;MALE
2019-11-24;Марат;68;MALE
1944-07-14;Нина;69;FEMALE
1968-03-15;Макар;70;MALE
1993-11-05;Олег;71;MALE
2021-11-26;Владислав;72;MALE
1947-07-17;Федор;73;MALE
1970-03-17;Каролина;74;FEMALE
1996-11-08;Данил;75;MALE
1923-11-01;Всеволод;76;MALE
1949-07-19;Матвей;77;MALE
1972-03-07;Злата;78;FEMALE
1998-03-26;Зарина;79;FEMALE
2008-08-07;Анатолий;80;MALE
1933-08-26;Аделина;81;FEMALE
1957-04-26;Гордей;82;MALE
1982-12-17;Арсений;83;MALE
2010-08-10;Алексей;84;MALE
1936-08-28;Рамиль;85;MALE
1959-04-17;Виталина;86;FEMALE
1985-12-07;Эдуард;87;MALE
2012-08-28;Василий;88;MALE
1938-08-19;Ростислав;89;MALE
1961-04-19;Кира;90;FEMALE
1987-12-10;Виолетта;91;FEMALE
2015-08-03;Ольга;92;FEMALE
1940-08-21;Дамир;93;MALE
1963-04-22;Тамерлан;94;MALE
1989-12-12;Кристина;95;FEMALE
1934-11-17;Олеся;96;FEMALE
1960-07-08;Константин;97;MALE
1983-07-08;Татьяна;98;FEMALE
2009-03-26;Анастасия;99;FEMALE
1937-11-19;Мадина;100;FEMALE
1962-11-10;Яна;101;FEMALE
1985-07-26;Борис;102;MALE
2011-03-01;Дарья;103;FEMALE
1939-11-10;Евгения;104;FEMALE
1964-11-13;Лиана;105;FEMALE
1988-07-01;Евгений;106;MALE
2013-03-19;Станислав;107;MALE
1941-11-12;Мирон;108;MALE
1966-11-03;Алёна;109;FEMALE
1990-07-03;Ульяна;110;FEMALE
2015-03-22;Михаил;111;MALE
1926-11-19;Нелли;112;FEMALE
1951-07-10;Святослав;113;MALE
1974-03-10;Георгий;114;MALE
2000-03-01;Василиса;115;FEMALE
1928-11-22;Диана;116;FEMALE
1953-07-12;Стефания;117;FEMALE
1977-03-12;Сергей;118;MALE
2002-03-03;Самир;119;MALE
1930-11-24;Влад;120;MALE
1955-07-15;Александра;121;FEMALE
1979-03-03;Эмилия;122;FEMALE
2004-03-21;Филипп;123;MALE
1932-11-15;Роберт;124;MALE
1958-07-17;Мирослав;125;MALE
1981-07-05;Арина;126;FEMALE
2007-03-24;Есения;127;FEMALE
2011-11-11;Марат;128;MALE
1937-07-02;Ирина;129;FEMALE
1960-03-02;Макар;130;MALE
1986-03-20;Рустам;131;MALE
2013-11-13;Тимофей;132;MALE
1939-07-04;Василий;133;MALE
1962-03-20;Каролина;134;FEMALE
1988-03-23;Глеб;135;MALE
2016-11-04;Руслан;136;MALE
1941-07-07;Матвей;137;MALE
1964-07-23;Ясмина;138;FEMALE
1990-03-13;Зарина;139;FEMALE
2018-11-06;Анжелика;140;FEMALE
1943-07-25;Иван;141;MALE
1967-07-25;Георгий;142;MALE
1992-03-16;Карина;143;FEMALE
2002-12-13;Алексей;144;MALE
1928-08-04;Елисей;145;MALE
1951-04-04;Виталина;146;FEMALE
1977-12-23;Эдуард;147;MALE
2005-12-16;Станислав;148;MALE
1930-08-06;Арсен;149;MALE
1953-04-06;Кира;150;FEMALE
1979-12-25;Алла;151;FEMALE
2007-12-18;Инна;152;FEMALE
1932-08-09;Дамир;153;MALE
1956-04-25;Тамерлан;154;MALE
1981-12-27;Кристина;155;FEMALE
2009-12-09;Виктория;156;FEMALE
1934-07-11;Анна;157;FEMALE
1958-04-27;Марсель;158;MALE
1983-04-18;Артемий;159;MALE
1929-03-23;Мадина;160;FEMALE
1954-11-25;Яна;161;FEMALE
1978-07-14;Борис;162;MALE
2003-03-04;Дарья;163;FEMALE
1931-03-25;Юлиана;164;FEMALE
1956-11-16;Мелания;165;FEMALE
1980-07-16;Даниэль;166;MALE
2005-03-07;Данила;167;MALE
1933-03-28;Мирон;168;MALE
1959-11-18;Владислава;169;FEMALE
1982-07-06;Ульяна;170;FEMALE
2008-03-09;Михаил;171;MALE
1935-03-18;Александр;172;MALE
1961-11-21;Артур;173;MALE
1984-07-09;Наталия;174;FEMALE
2010-03-28;Наталья;175;FEMALE
2020-11-09;Диана;176;FEMALE
1945-07-28;Стефания;177;FEMALE
1969-07-16;Сергей;178;MALE
1994-03-18;Лев;179;MALE
1922-11-27;Данил;180;MALE
1948-11-02;Валерия;181;FEMALE
1971-07-18;Демид;182;MALE
1997-03-09;Радмир;183;MALE
1924-11-02;Роберт;184;MALE
1950-11-20;Мирослав;185;MALE
1973-07-21;Лариса;186;FEMALE
1999-03-11;Захар;187;MALE
1927-11-04;Богдан;188;MALE
1952-11-23;Назар;189;MALE
1975-07-11;Татьяна;190;FEMALE
2001-03-14;Галина;191;FEMALE
1946-02-18;Марат;192;MALE
1972-10-09;Григорий;193;MALE
1995-10-09;Антонина;194;FEMALE
2021-06-28;Софья;195;FEMALE
1949-02-21;Алиса;196;FEMALE
1974-10-12;Артём;197;MALE
1997-10-28;Каролина;198;FEMALE
1923-06-18;Майя;199;FEMALE
1951-02-11;Лидия;200;FEMALE
1976-02-02;Юлия;201;FEMALE
2000-10-02;Вячеслав;202;MALE
1925-06-21;Зарина;203;FEMALE
1953-02-14;София;204;FEMALE
1978-02-04;Агата;205;FEMALE
2002-10-05;Святогор;206;MALE
1927-06-23;Юрий;207;MALE
1938-02-21;Алина;208;FEMALE
1963-10-11;Рамиль;209;MALE
1986-07-11;Варвара;210;FEMALE
2012-06-02;Эльвира;211;FEMALE
1940-02-23;Альбина;212;FEMALE
1965-10-14;Евгения;213;FEMALE
1989-06-14;Николай;214;MALE
2014-06-04;Вероника;215;FEMALE
1942-02-26;Ольга;216;FEMALE
1967-10-16;Вера;217;FEMALE
1991-06-04;Тамерлан;218;MALE
2016-06-23;Павел;219;MALE
1944-02-16;Одиссей;220;MALE
1970-10-07;Анна;221;FEMALE
